uniprot nres_disp_patho nres_mobi_cons_patho
O60260 0 0
O60216 -1 1
O60568 -1 -1
O60500 -1 -1
O60832 -1 -1
O60928 -1 -1
O60931 -1 -1
O60663 -1 -1
O60687 -1 -1
O60315 -1 3
O60313 -1 -1
O60779 -1 -1
O60733 -1 -1
P13716 -1 -1
P11912 0 0
P14679 -1 -1
P10253 -1 3
P19087 -1 0
P16930 -1 -1
P13498 -1 0
P13473 -1 0
P18507 -1 -1
P15502 -1 0
P15260 -1 0
P15289 -1 -1
P14222 -1 -1
P16435 -1 -1
P16499 -1 -1
P16871 -1 -1
P17813 -1 0
P12111 -1 23
P12109 -1 -1
P12110 -1 -1
P14868 -1 -1
P14867 -1 -1
P10523 -1 -1
P10589 -1 4
P12081 0 0
P11487 -1 -1
P11413 -1 -1
P11473 0 0
P17405 6 6
P10827 -1 0
P10809 -1 -1
P16234 -1 0
P16278 -1 -1
P17900 -1 -1
P18850 -1 0
P19544 -1 0
P17643 -1 -1
P18074 -1 -1
P11182 -1 0
P11172 -1 -1
P11586 -1 -1
P15153 -1 -1
P12830 -1 2
P12883 -1 -1
P19878 -1 1
P10912 0 0
P17302 -1 -1
P11217 -1 -1
P11230 -1 -1
P11686 -1 -1
P19971 -1 -1
P10619 -1 -1
P10600 -1 0
P10636 -1 1
P12694 -1 1
P13224 -1 -1
P15918 -1 -1
P15924 -1 -1
P15976 -1 0
P13686 -1 -1
P13647 -1 1
P15085 -1 -1
P15056 -1 1
P15884 -1 19
P14136 -1 -1
P16671 -1 -1
P12235 -1 -1
P12271 -1 -1
P19404 -1 0
P19429 28 28
P19438 -1 0
P11055 -1 -1
P12955 -1 -1
P10746 -1 -1
P13804 -1 -1
P15382 3 3
P15391 -1 0
P14770 -1 -1
Q8IU99 -1 -1
Q86VQ0 -1 -1
Q8WTS1 -1 -1
Q8TDN2 -1 -1
Q8TD30 -1 1
Q8TD16 -1 1
Q8NDN9 -1 -1
Q86TP1 -1 -1
Q8N2K0 -1 -1
Q8TAM1 -1 -1
Q8TAB3 -1 1
Q8TAA9 -1 -1
Q8N8Q9 -1 -1
Q8NFF5 -1 -1
Q8NFJ9 -1 -1
Q8NFM7 -1 -1
Q8NFG4 -1 0
Q86W42 -1 -1
Q86WV6 0 0
Q8N9W5 -1 -1
Q8NCR0 -1 -1
Q8TBZ6 -1 1
Q86XL3 -1 -1
Q86X45 -1 -1
Q86XE5 -1 -1
Q8N0W4 -1 -1
Q8HWS3 -1 -1
Q8N5M1 -1 -1
Q8N5M9 -1 -1
Q8N5Z5 -1 0
Q8N6M0 -1 -1
Q8N6F1 -1 -1
Q8N653 -1 -1
Q8WVT3 -1 -1
Q8WVQ1 -1 -1
Q86SQ9 -1 -1
Q8TCG5 -1 0
Q8TCS8 -1 -1
Q8N135 -1 -1
Q8N142 -1 -1
Q8N157 -1 2
Q8N130 -1 -1
Q8NAT1 -1 -1
Q8WWZ3 -1 -1
Q8WWY8 -1 -1
Q8WZ55 -1 -1
Q8WZA1 -1 0
Q8WXF7 -1 -1
Q8WXI9 -1 -1
Q8WXU2 -1 -1
Q8WXW3 -1 -1
Q8WX94 -1 0
Q8NB91 -1 -1
Q8NBP7 -1 -1
Q8NBK3 -1 1
Q86YV9 -1 -1
Q86YT5 -1 -1
Q86YH6 -1 -1
Q86Y56 -1 -1
Q8NHS3 -1 -1
Q8N726 -1 -1
Q8N766 -1 -1
Q8WU10 -1 -1
Q8IVL5 -1 -1
Q8IV20 -1 -1
Q8IVH4 -1 -1
Q8IV16 0 0
Q8IVS8 -1 -1
Q8TF64 -1 -1
Q8WYQ3 -1 -1
Q8WYA0 -1 -1
Q8N490 -1 -1
Q8TE85 -1 -1
Q8TEA7 -1 -1
Q86U28 -1 -1
Q5TD94 -1 -1
Q5NDL2 -1 -1
Q5SWA1 -1 0
Q5U5X0 -1 -1
Q5TBB1 -1 2
Q5HYA8 -1 -1
Q5S007 -1 -1
Q5H8A4 -1 -1
Q5T160 -1 -1
Q5T481 -1 -1
Q5T440 -1 -1
Q5JU85 -1 11
Q5JUK3 -1 -1
Q53FT3 -1 -1
Q5JTW2 -1 -1
Q5JVL4 -1 -1
Q5JPH6 -1 -1
Q5TEU4 -1 -1
Q5SV17 -1 -1
Q01955 -1 47
Q01968 -1 1
Q01959 -1 -1
Q06124 -1 0
Q08499 -1 0
Q04695 -1 -1
Q04656 5 5
Q04671 -1 -1
Q08289 -1 -1
Q05586 -1 -1
Q06495 -1 -1
Q06413 -1 0
Q04446 -1 -1
Q0ZGT2 -1 -1
Q07837 -1 0
Q07889 0 0
Q02487 -1 -1
Q02127 -1 -1
Q04844 -1 -1
Q0D2K0 -1 -1
Q02388 2 2
Q01432 -1 0
Q01453 -1 -1
Q07001 -1 -1
Q07699 -1 -1
Q05639 -1 0
Q01196 -1 6
Q06787 1 1
Q06710 -1 0
Q01543 -1 0
Q05193 1 -1
Q02809 -1 -1
Q00604 -1 -1
Q05086 -1 2
Q09472 0 2
Q02962 -1 -1
Q07507 -1 -1
Q03393 -1 -1
O75569 -1 0
O75530 -1 0
O75503 -1 -1
O75792 -1 1
O75712 -1 -1
O75771 -1 -1
O76024 -1 1
O76039 -1 26
O75648 -1 -1
O75695 -1 -1
O75190 -1 0
O75197 -1 -1
O75419 -1 0
O75444 -1 4
O75496 0 2
O75923 -1 3
O75916 -1 -1
O75907 -1 -1
O75072 -1 -1
O75030 -1 0
O75874 -1 -1
O75879 -1 -1
O75880 -1 0
O75800 -1 -1
O75352 -1 -1
O75342 -1 -1
O75360 -1 -1
O75398 -1 -1
O75306 -1 -1
A6NNB3 -1 -1
A6NNN8 -1 -1
P98161 -1 0
P98172 -1 1
